Size (n*n),Runtime
373,0.0014789104461669922
374,0.0015408992767333984
375,0.001550912857055664
376,0.001631021499633789
377,0.001512765884399414
378,0.001497030258178711
379,0.0015838146209716797
380,0.0015261173248291016
381,0.001544952392578125
382,0.0016109943389892578
383,0.0016298294067382812
384,0.0016300678253173828
385,0.001619100570678711
386,0.00162506103515625
387,0.0015811920166015625
388,0.0016667842864990234
389,0.0016491413116455078
390,0.0016028881072998047
391,0.0015950202941894531
392,0.001692056655883789
393,0.0017249584197998047
394,0.0016360282897949219
395,0.002032041549682617
396,0.0020029544830322266
397,0.0019431114196777344
398,0.001708984375
399,0.001867055892944336
400,0.0017578601837158203
401,0.0017769336700439453
402,0.0018358230590820312
403,0.0018329620361328125
404,0.0017299652099609375
405,0.001809835433959961
406,0.0018050670623779297
407,0.0017628669738769531
408,0.001753091812133789
409,0.0018749237060546875
410,0.0018570423126220703
411,0.0017600059509277344
412,0.0018498897552490234
413,0.001873016357421875
414,0.0018668174743652344
415,0.0018188953399658203
416,0.0019156932830810547
417,0.001909017562866211
418,0.0019109249114990234
419,0.0019981861114501953
420,0.0019919872283935547
421,0.001873016357421875
422,0.0019850730895996094
423,0.0019600391387939453
424,0.0019040107727050781
425,0.0019447803497314453
426,0.0019838809967041016
427,0.0020422935485839844
428,0.0019986629486083984
429,0.002031087875366211
430,0.0020380020141601562
431,0.0020029544830322266
432,0.0020329952239990234
433,0.002148151397705078
434,0.002178192138671875
435,0.002080678939819336
436,0.0021109580993652344
437,0.0020570755004882812
438,0.002010345458984375
439,0.002107858657836914
440,0.002183198928833008
441,0.0020751953125
442,0.0020821094512939453
443,0.0021619796752929688
444,0.002290964126586914
445,0.002201080322265625
446,0.002218961715698242
447,0.0021660327911376953
448,0.002129077911376953
449,0.0021300315856933594
450,0.002210855484008789
451,0.0023179054260253906
452,0.002319812774658203
453,0.002293109893798828
454,0.002332925796508789
455,0.0021820068359375
456,0.0022699832916259766
457,0.002315998077392578
458,0.0021970272064208984
459,0.0021920204162597656
460,0.002460956573486328
461,0.002398967742919922
462,0.002343893051147461
463,0.002393007278442383
464,0.0023620128631591797
465,0.0023233890533447266
466,0.0023927688598632812
467,0.0024330615997314453
468,0.002418041229248047
469,0.0024423599243164062
470,0.002446889877319336
471,0.0024330615997314453
472,0.0023970603942871094
473,0.002460002899169922
474,0.0024619102478027344
475,0.0024671554565429688
476,0.0024030208587646484
477,0.0025017261505126953
478,0.00251007080078125
479,0.0025098323822021484
480,0.0025000572204589844
481,0.0025539398193359375
482,0.002481222152709961
483,0.0025758743286132812
484,0.002597808837890625
485,0.002567291259765625
486,0.0028159618377685547
487,0.0026328563690185547
488,0.002938985824584961
489,0.002544879913330078
490,0.0026340484619140625
491,0.00269317626953125
492,0.0025572776794433594
493,0.0028579235076904297
494,0.0027320384979248047
495,0.0026857852935791016
496,0.0028159618377685547
497,0.002743244171142578
498,0.002727985382080078
499,0.002585172653198242
500,0.0028510093688964844
501,0.0028371810913085938
502,0.002790212631225586
503,0.002886056900024414
504,0.002827167510986328
505,0.0028269290924072266
506,0.002689838409423828
507,0.0028650760650634766
508,0.0028269290924072266
509,0.0027120113372802734
510,0.0027730464935302734
511,0.0029087066650390625
512,0.002933979034423828
513,0.0029239654541015625
514,0.0029609203338623047
515,0.0028748512268066406
516,0.002804994583129883
517,0.002969026565551758
518,0.002974987030029297
519,0.0030100345611572266
520,0.0029888153076171875
521,0.0030248165130615234
522,0.003039836883544922
523,0.003078937530517578
524,0.003056049346923828
525,0.003287792205810547
526,0.0030510425567626953
527,0.002905130386352539
528,0.0031642913818359375
529,0.003107786178588867
530,0.0032389163970947266
531,0.0031332969665527344
532,0.003171205520629883
533,0.0029802322387695312
534,0.003206014633178711
535,0.0032150745391845703
536,0.0031690597534179688
537,0.003200054168701172
538,0.0033490657806396484
539,0.0032510757446289062
540,0.0034019947052001953
541,0.0032072067260742188
542,0.0032858848571777344
543,0.003165006637573242
544,0.0031321048736572266
545,0.0032792091369628906
546,0.003314971923828125
547,0.003281831741333008
548,0.003431081771850586
549,0.0034160614013671875
550,0.0031900405883789062
551,0.0034286975860595703
552,0.003531932830810547
553,0.003427743911743164
554,0.003467082977294922
555,0.0034029483795166016
556,0.0034711360931396484
557,0.0035181045532226562
558,0.003438711166381836
559,0.0037000179290771484
560,0.003340005874633789
561,0.003314971923828125
562,0.003525972366333008
563,0.003469228744506836
564,0.0035529136657714844
